Hex sent       Integer     Float         Integer     Float
by app            representation            bit shifted
--------       ----------  -------       ----------  -------
3e345621,      1043617313, 0.17611,      1047091464, 0.22788
3e361e4f,      1043734095, 0.17785,      1047296632, 0.23094
3e370d50,      1043795280, 0.17876,      1047410304, 0.23263
3e393350,      1043936080, 0.18086,      1047711360, 0.23712
3e3a6b51,      1044015953, 0.18205,      1047899784, 0.23992
3e3b5a51,      1044077137, 0.18296,      1048013448, 0.24162
3e3d4952,      1044203858, 0.18485,      1048258192, 0.24526
3e3e3852,      1044265042, 0.18576,      1048371856, 0.24696
3e411653,      1044452947, 0.18856,      1048730264, 0.25460
3e430553,      1044579667, 0.19045,      1048975000, 0.26189
3e456354,      1044734804, 0.19276,      1049333408, 0.27257
3e475254,      1044861524, 0.19465,      1049578144, 0.27987
3e484155,      1044922709, 0.19556,      1049691816, 0.28325
3e4a3055,      1045049429, 0.19745,      1049936552, 0.29055
3e4b1f56,      1045110614, 0.19836,      1050050224, 0.29394
3e4d0e56,      1045237334, 0.20025,      1050294960, 0.30123
3e4e7d56,      1045331286, 0.20165,      1050539696, 0.30852
3e4f6c57,      1045392471, 0.20256,      1050653368, 0.31191
3e524a58,      1045580376, 0.20536,      1051011776, 0.32259
3e552858,      1045768280, 0.20816,      1051370176, 0.33327
3e571759,      1045895001, 0.21005,      1051614920, 0.34057
3e580659,      1045956185, 0.21096,      1051728584, 0.34395
3e5b645a,      1046176858, 0.21425,      1052218064, 0.35854
3e5c535b,      1046238043, 0.21516,      1052331736, 0.36193
3e5e425b,      1046364763, 0.21705,      1052576472, 0.36922
3e5f315b,      1046425947, 0.21796,      1052690136, 0.37261
3e61205c,      1046552668, 0.21985,      1052934880, 0.37990
3e620f5c,      1046613852, 0.22076,      1053048544, 0.38329
3e665c5d,      1046895709, 0.22496,      1053651688, 0.40127
3e684b5e,      1047022430, 0.22685,      1053896432, 0.40856
3e6b295f,      1047210335, 0.22965,      1054254840, 0.41924
3e6c185f,      1047271519, 0.23056,      1054368504, 0.42263
3e6e075f,      1047398239, 0.23245,      1054613240, 0.42992
3e6f7660,      1047492192, 0.23385,      1054857984, 0.43722
3e706560,      1047553376, 0.23476,      1054971648, 0.44061
3e725461,      1047680097, 0.23665,      1055216392, 0.44790
3e753261,      1047868001, 0.23945,      1055574792, 0.45858
3e762162,      1047929186, 0.24036,      1055688464, 0.46197
3e781062,      1048055906, 0.24225,      1055933200, 0.46926
3e797f63,      1048149859, 0.24365,      1056177944, 0.47656
3e7a6e63,      1048211043, 0.24456,      1056291608, 0.47994
3e7c5d64,      1048337764, 0.24645,      1056536352, 0.48724
3e7d4c64,      1048398948, 0.24736,      1056650016, 0.49062
3e7f3b64,      1048525668, 0.24925,      1056894752, 0.49792
========
3f005b40,      1056987968, 0.50139,      1057058304, 0.50558
3f02156a,      1057101162, 0.50814,      1057249104, 0.51696
3f031501,      1057166593, 0.51204,      1057379336, 0.52472
3f053574,      1057305972, 0.52035,      1057675168, 0.54235
3f061742,      1057363778, 0.52379,      1057775120, 0.54831
3f064f42,      1057378114, 0.52465,      1057832464, 0.55173
3f070642,      1057424962, 0.52744,      1057888784, 0.55509
3f081375,      1057493877, 0.53155,      1058033576, 0.56372
3f087543,      1057518915, 0.53304,      1058133528, 0.56967
3f092d43,      1057566019, 0.53585,      1058190872, 0.57309
3f0a6443,      1057645635, 0.54059,      1058378264, 0.58426
3f0b367a,      1057699450, 0.54380,      1058462672, 0.58929
3f0b5343,      1057706819, 0.54424,      1058491928, 0.59104
